activity_id,team_id,type,date,team_name,home_away,rotated_session,data_saved,stats_saved
1879,8,official,20200101,anonymous,H,2,1,0
1882,127,official,20200101,anonymous,A,2,1,0
1888,123,official,20200101,anonymous,H,1,1,0
1889,11,official,20200101,anonymous,H,1,1,0
1949,123,official,20200101,anonymous,A,1,1,0
1947,127,official,20200101,anonymous,H,2,1,0
2016,93,official,20200101,anonymous,A,2,1,0
1958,11,official,20200101,anonymous,A,1,1,0
1961,40,official,20200101,anonymous,H,1,1,0
1952,8,official,20200101,anonymous,A,2,1,0
2073,11,official,20200101,anonymous,H,1,1,0
2071,127,official,20200101,anonymous,H,2,1,0
2105,93,official,20200101,anonymous,H,2,1,0
2111,40,official,20200101,anonymous,H,1,1,0
2104,8,official,20200101,anonymous,A,1,1,0
2226,8,official,20200101,anonymous,H,2,1,0
2228,11,official,20200101,anonymous,H,1,1,0
2233,40,official,20200101,anonymous,A,2,1,0
2235,123,official,20200101,anonymous,H,1,1,0
2238,127,official,20200101,anonymous,A,1,1,0
2253,11,official,20200101,anonymous,A,1,1,0
2272,40,official,20200101,anonymous,H,1,1,0
2309,123,official,20200101,anonymous,H,1,1,0
2308,11,official,20200101,anonymous,H,1,1,0
2306,127,official,20200101,anonymous,A,2,1,0
2310,8,official,20200101,anonymous,A,1,1,0
2405,40,official,20200101,anonymous,H,1,1,0
2373,123,official,20200101,anonymous,A,2,1,0
2374,40,official,20200101,anonymous,A,1,1,0
2372,127,official,20200101,anonymous,H,2,1,0
2541,93,official,20200101,anonymous,A,2,1,0
2386,11,official,20200101,anonymous,A,2,1,0
2384,8,official,20200101,anonymous,A,1,1,0
2601,40,official,20200101,anonymous,A,1,1,0
2605,127,official,20200101,anonymous,A,1,1,0
2585,8,official,20200101,anonymous,H,2,1,0
2589,123,official,20200101,anonymous,A,1,1,0
2587,11,official,20200101,anonymous,H,1,1,0
2616,93,official,20200101,anonymous,H,2,1,0
2658,40,official,20200101,anonymous,H,1,1,0
2669,123,official,20200101,anonymous,H,1,1,0
2725,93,official,20200101,anonymous,H,2,1,0
2656,11,official,20200101,anonymous,A,2,1,0
2662,127,official,20200101,anonymous,A,2,1,0
2657,8,official,20200101,anonymous,H,2,1,0
2771,123,official,20200101,anonymous,H,1,1,0
2890,93,official,20200101,anonymous,H,0,1,0
2753,127,official,20200101,anonymous,H,2,1,0
2839,123,official,20200101,anonymous,A,2,1,0
2799,40,official,20200101,anonymous,H,1,1,0
2795,8,official,20200101,anonymous,A,2,1,0
2889,93,official,20200101,anonymous,H,1,1,0
