activity_id,player_period,form_period,role_period,session,start_time,end_time
1879,1,1,1,1,0,35
1879,2,1,2,1,35,47
1879,3,2,3,2,0,31
1879,4,2,4,2,31,42
1879,4,2,5,2,42,49
1879,5,2,6,2,49,51
1882,1,1,1,1,0,24
1882,1,1,2,1,24,46
1882,2,2,3,2,0,22
1882,3,2,4,2,22,42
1882,4,2,5,2,42,49
1952,1,1,1,1,0,36
1952,1,1,2,1,36,47
1952,2,2,3,2,0,24
1952,3,2,4,2,24,37
1952,4,2,5,2,37,49
1958,1,1,1,1,0,47
1958,2,2,2,2,0,18
1958,3,2,3,2,18,32
1958,4,2,4,2,32,46
1958,5,2,5,2,46,48
2071,1,1,1,1,0,49
2104,1,1,1,1,0,39
2104,2,1,2,1,39,46
2104,3,2,3,2,0,42
2104,4,2,4,2,42,48
2226,1,1,1,1,0,35
2226,2,1,2,1,35,46
2226,3,2,3,2,0,26
2226,4,2,4,2,26,34
2226,5,2,5,2,34,48
2228,1,1,1,1,0,47
2228,2,2,2,2,0,20
2228,3,2,3,2,20,46
2228,4,2,4,2,46,49
2306,1,1,1,1,0,19
2306,2,1,2,1,19,46
2306,3,2,3,2,0,24
2306,4,2,4,2,24,42
2306,5,2,5,2,42,49
2308,1,1,1,1,0,46
2310,1,1,1,1,0,35
2310,1,1,2,1,35,46
2310,2,2,3,2,0,22
2310,3,2,4,2,22,42
2310,4,2,5,2,42,51
2374,1,1,1,1,0,46
2384,1,1,1,1,0,27
2384,2,1,2,1,27,49
2386,1,1,1,1,0,47
2386,2,2,2,2,0,18
2386,3,2,3,2,18,38
2386,4,3,4,2,38,47
2386,5,3,5,2,47,50
2405,1,1,1,1,0,25
2405,1,1,2,1,25,46
2585,1,1,1,1,0,30
2585,1,1,2,1,30,46
2585,2,2,3,2,0,11
2585,3,2,4,2,11,33
2585,4,2,5,2,33,48
2605,1,1,1,1,0,21
2605,2,1,2,1,21,48
2657,1,1,1,1,0,15
2657,1,1,2,1,15,37
2657,2,1,3,1,37,47
2662,2,1,1,2,0,18
2662,3,1,2,2,18,28
2662,4,1,3,2,28,48
2795,1,1,1,1,0,8
2795,1,1,2,1,8,46
2795,2,2,3,2,0,21
2795,3,2,4,2,21,26
2795,4,2,5,2,26,50
2809,1,1,1,1,0,47
2809,2,2,2,2,0,14
2809,3,2,3,2,14,30
2809,4,2,4,2,30,38
2809,4,2,5,2,38,48
2977,1,1,1,1,0,48
2995,2,1,1,2,0,21
2995,3,1,2,2,21,49
2995,4,1,3,2,49,51
3023,1,1,1,1,0,37
3023,1,1,2,1,37,48
3023,2,2,3,2,0,14
3023,3,2,4,2,14,34
3023,4,2,5,2,34,42
3023,4,3,6,2,42,51
3172,1,1,1,1,0,50
3447,1,1,1,1,0,32
3447,2,1,2,1,32,47
3447,3,2,3,2,0,36
3447,4,2,4,2,36,50
3456,1,1,1,1,0,26
3456,1,1,2,1,26,46
3456,2,2,3,2,0,28
3456,2,2,4,2,28,34
3456,3,2,5,2,34,41
3456,4,2,6,2,41,50
3521,2,1,1,2,0,25
3521,3,1,2,2,25,34
3521,4,1,3,2,34,43
3521,5,1,4,2,43,49
3534,1,1,1,1,0,7
3534,1,1,2,1,7,46
3534,2,2,3,2,0,24
3534,3,2,4,2,24,39
3534,4,2,5,2,39,44
3534,5,2,6,2,44,51
3567,1,1,1,1,0,16
3567,1,1,2,1,16,46
3567,2,2,3,2,0,7
3567,2,2,4,2,7,12
3567,3,2,5,2,12,31
3567,4,2,6,2,31,36
3567,5,2,7,2,36,48
3597,1,1,1,1,0,41
3597,1,1,2,1,41,48
3699,1,1,1,1,0,46
3699,2,2,2,2,0,9
3699,3,2,3,2,9,47
3699,4,2,4,2,47,48
3699,5,2,5,2,48,51
3721,1,1,1,1,0,34
3721,2,1,2,1,34,46
3721,3,2,3,2,0,18
3721,4,3,4,2,18,33
3721,4,3,5,2,33,39
3721,5,3,6,2,39,49
3803,1,1,1,1,0,38
3803,1,1,2,1,38,46
3803,2,2,3,2,0,12
3803,3,2,4,2,12,26
3803,4,2,5,2,26,39
3803,5,2,6,2,39,50
3833,1,1,1,1,0,24
3833,1,1,2,1,24,37
3833,1,1,3,1,37,46
3833,2,2,4,2,0,15
3833,2,2,5,2,15,26
3833,2,2,6,2,26,35
3833,3,2,7,2,35,44
3833,4,2,8,2,44,50
3926,1,1,1,1,0,22
