activity_id,player_period,form_period,role_period,session,start_dt,end_dt,duration,player_id,squad_num,player_name,base_role,x,y,formation,aligned_role
1879,1,1,1,1,2020-01-01 16:00:00,2020-01-01 16:35:00,2100,1252,9,P09,1,1696.0,-65.0,433,CF
1879,1,1,1,1,2020-01-01 16:00:00,2020-01-01 16:35:00,2100,1759,10,P10,2,136.0,-745.0,433,RCM
1879,1,1,1,1,2020-01-01 16:00:00,2020-01-01 16:35:00,2039,1760,14,P14,3,1037.0,1791.0,433,LM
1879,1,1,1,1,2020-01-01 16:00:00,2020-01-01 16:35:00,2100,1761,15,P15,4,815.0,-1458.0,433,RM
1879,1,1,1,1,2020-01-01 16:00:00,2020-01-01 16:35:00,2100,1237,19,P19,5,-621.0,-94.0,433,CDM
1879,1,1,1,1,2020-01-01 16:00:00,2020-01-01 16:35:00,2100,1766,20,P20,6,-1134.0,-772.0,433,RCB
1879,1,1,1,1,2020-01-01 16:00:00,2020-01-01 16:35:00,2100,1235,23,P23,7,-674.0,-1697.0,433,RB
1879,1,1,1,1,2020-01-01 16:00:00,2020-01-01 16:35:00,2100,1227,33,P33,8,-594.0,1644.0,433,LB
1879,1,1,1,1,2020-01-01 16:00:00,2020-01-01 16:35:00,2100,1925,38,P38,9,-1099.0,680.0,433,LCB
1879,1,1,1,1,2020-01-01 16:00:00,2020-01-01 16:35:00,2100,1236,42,P42,10,438.0,715.0,433,LCM
1879,2,1,2,1,2020-01-01 16:35:00,2020-01-01 16:47:00,720,1248,7,P07,3,1037.0,1791.0,433,LM
1879,2,1,2,1,2020-01-01 16:35:00,2020-01-01 16:47:00,720,1252,9,P09,1,1696.0,-65.0,433,CF
1879,2,1,2,1,2020-01-01 16:35:00,2020-01-01 16:47:00,720,1759,10,P10,2,136.0,-745.0,433,RCM
1879,2,1,2,1,2020-01-01 16:35:00,2020-01-01 16:47:00,720,1760,14,P14,4,815.0,-1458.0,433,RM
1879,2,1,2,1,2020-01-01 16:35:00,2020-01-01 16:47:00,720,1237,19,P19,5,-621.0,-94.0,433,CDM
1879,2,1,2,1,2020-01-01 16:35:00,2020-01-01 16:47:00,720,1766,20,P20,6,-1134.0,-772.0,433,RCB
1879,2,1,2,1,2020-01-01 16:35:00,2020-01-01 16:47:00,720,1235,23,P23,7,-674.0,-1697.0,433,RB
1879,2,1,2,1,2020-01-01 16:35:00,2020-01-01 16:47:00,720,1227,33,P33,8,-594.0,1644.0,433,LB
1879,2,1,2,1,2020-01-01 16:35:00,2020-01-01 16:47:00,720,1925,38,P38,9,-1099.0,680.0,433,LCB
1879,2,1,2,1,2020-01-01 16:35:00,2020-01-01 16:47:00,720,1236,42,P42,10,438.0,715.0,433,LCM
1879,3,2,3,2,2020-01-01 17:02:00,2020-01-01 17:33:00,1860,1248,7,P07,3,672.0,1832.0,433,LM
1879,3,2,3,2,2020-01-01 17:02:00,2020-01-01 17:33:00,1860,1252,9,P09,1,1656.0,21.0,433,CF
1879,3,2,3,2,2020-01-01 17:02:16,2020-01-01 17:33:00,1844,1759,10,P10,2,628.0,-636.0,433,RCM
1879,3,2,3,2,2020-01-01 17:02:00,2020-01-01 17:33:00,1860,1760,14,P14,4,779.0,-1629.0,433,RM
1879,3,2,3,2,2020-01-01 17:02:00,2020-01-01 17:33:00,1860,1237,19,P19,5,-508.0,-127.0,433,CDM
1879,3,2,3,2,2020-01-01 17:02:00,2020-01-01 17:33:00,1860,1766,20,P20,6,-862.0,-609.0,433,RCB
1879,3,2,3,2,2020-01-01 17:02:00,2020-01-01 17:33:00,1860,1235,23,P23,7,-714.0,-1715.0,433,RB
1879,3,2,3,2,2020-01-01 17:02:26,2020-01-01 17:33:00,1834,1227,33,P33,8,-648.0,1618.0,433,LB
1879,3,2,3,2,2020-01-01 17:02:00,2020-01-01 17:33:00,1828,1925,38,P38,9,-1273.0,579.0,433,LCB
1879,3,2,3,2,2020-01-01 17:02:00,2020-01-01 17:33:00,1860,1236,42,P42,10,269.0,666.0,433,LCM
1879,4,2,4,2,2020-01-01 17:33:00,2020-01-01 17:44:00,660,1248,7,P07,3,672.0,1832.0,433,LM
1879,4,2,4,2,2020-01-01 17:33:00,2020-01-01 17:44:00,660,1252,9,P09,1,1656.0,21.0,433,CF
1879,4,2,4,2,2020-01-01 17:33:00,2020-01-01 17:44:00,660,1759,10,P10,10,269.0,666.0,433,LCM
1879,4,2,4,2,2020-01-01 17:33:00,2020-01-01 17:44:00,660,1760,14,P14,2,628.0,-636.0,433,RCM
1879,4,2,4,2,2020-01-01 17:33:00,2020-01-01 17:44:00,660,1237,19,P19,5,-508.0,-127.0,433,CDM
1879,4,2,4,2,2020-01-01 17:33:00,2020-01-01 17:44:00,660,1766,20,P20,6,-862.0,-609.0,433,RCB
1879,4,2,4,2,2020-01-01 17:33:00,2020-01-01 17:44:00,660,1232,22,P22,4,779.0,-1629.0,433,RM
1879,4,2,4,2,2020-01-01 17:33:00,2020-01-01 17:44:00,660,1235,23,P23,7,-714.0,-1715.0,433,RB
1879,4,2,4,2,2020-01-01 17:33:00,2020-01-01 17:44:00,660,1227,33,P33,8,-648.0,1618.0,433,LB
1879,4,2,4,2,2020-01-01 17:33:00,2020-01-01 17:44:00,660,1925,38,P38,9,-1273.0,579.0,433,LCB
1879,4,2,5,2,2020-01-01 17:44:00,2020-01-01 17:51:00,420,1248,7,P07,3,672.0,1832.0,433,LM
1879,4,2,5,2,2020-01-01 17:44:00,2020-01-01 17:51:00,420,1252,9,P09,1,1656.0,21.0,433,CF
1879,4,2,5,2,2020-01-01 17:44:00,2020-01-01 17:51:00,420,1759,10,P10,5,-508.0,-127.0,433,CDM
1879,4,2,5,2,2020-01-01 17:44:00,2020-01-01 17:51:00,420,1760,14,P14,2,628.0,-636.0,433,RCM
1879,4,2,5,2,2020-01-01 17:44:00,2020-01-01 17:51:00,420,1237,19,P19,10,269.0,666.0,433,LCM
1879,4,2,5,2,2020-01-01 17:44:00,2020-01-01 17:51:00,420,1766,20,P20,6,-862.0,-609.0,433,RCB
1879,4,2,5,2,2020-01-01 17:44:00,2020-01-01 17:51:00,420,1232,22,P22,4,779.0,-1629.0,433,RM
1879,4,2,5,2,2020-01-01 17:44:00,2020-01-01 17:51:00,420,1235,23,P23,7,-714.0,-1715.0,433,RB
1879,4,2,5,2,2020-01-01 17:44:00,2020-01-01 17:51:00,420,1227,33,P33,8,-648.0,1618.0,433,LB
1879,4,2,5,2,2020-01-01 17:44:00,2020-01-01 17:51:00,420,1925,38,P38,9,-1273.0,579.0,433,LCB
1879,5,2,6,2,2020-01-01 17:51:00,2020-01-01 17:53:00,120,1248,7,P07,9,-1273.0,579.0,433,LCB
1879,5,2,6,2,2020-01-01 17:51:00,2020-01-01 17:53:00,120,1252,9,P09,10,269.0,666.0,433,LCM
1879,5,2,6,2,2020-01-01 17:51:00,2020-01-01 17:53:00,120,1759,10,P10,3,672.0,1832.0,433,LM
